# Nymara wildlife, written by tools/author_region_content.py.
#
# Every creature here draws a reviewed model in the client (`model: final`
# in creatures.txt). The placeholder species keep their definitions for
# invasions and quest text, but none of them stands in a field.
#
# Tiles are chosen on the generated server maps: walkable, reachable from
# an arrival under the climb rule, footprint on open ground, clear of
# arrivals, portals, NPC posts and service points. Re-run the tool after a
# map package changes rather than editing a coordinate by hand.

# mirrorhold
spawn | mirrorhold | river_otter | 112 | 379
spawn | whitehorn_range | frost_wraith_queen | 324 | 369
spawn | whitehorn_range | frost_wraith_queen | 261 | 378
spawn | whitehorn_range | glacier_paladin | 274 | 384
spawn | whitehorn_range | glacier_paladin | 83 | 364
spawn | whitehorn_range | glacier_paladin | 79 | 383
spawn | whitehorn_range | obsidian_bear | 70 | 325
spawn | whitehorn_range | obsidian_bear | 254 | 335
spawn | whitehorn_range | obsidian_bear | 269 | 332
spawn | whitehorn_range | thunder_ram | 231 | 71
spawn | whitehorn_range | thunder_ram | 314 | 97
spawn | whitehorn_range | thunder_ram | 221 | 86

# amethyst_barrens
spawn | amethyst_barrens | crystal_carapace_beetle | 306 | 135
spawn | amethyst_barrens | crystal_carapace_beetle | 315 | 128
spawn | amethyst_barrens | crystal_carapace_beetle | 225 | 163
spawn | amethyst_barrens | crystal_carapace_beetle | 221 | 152
spawn | amethyst_barrens | crystal_dire_wolf | 268 | 229
spawn | amethyst_barrens | crystal_dire_wolf | 305 | 306
spawn | amethyst_barrens | crystal_dire_wolf | 320 | 290
spawn | amethyst_barrens | cobalt_ibex | 82 | 202
spawn | amethyst_barrens | cobalt_ibex | 172 | 67
spawn | amethyst_barrens | cobalt_ibex | 194 | 63
spawn | amethyst_barrens | amethyst_scorpion | 269 | 219
spawn | amethyst_barrens | amethyst_scorpion | 316 | 304
spawn | amethyst_barrens | amethyst_moth | 90 | 198
spawn | amethyst_barrens | amethyst_moth | 174 | 58
spawn | amethyst_barrens | amethyst_moth | 172 | 75
spawn | amethyst_barrens | crystal_carapace_beetle | 223 | 171
spawn | amethyst_barrens | crystal_carapace_beetle | 211 | 161
spawn | amethyst_barrens | crystal_carapace_beetle | 312 | 110
spawn | amethyst_barrens | crystal_cave_spider | 65 | 329
spawn | amethyst_barrens | crystal_cave_spider | 61 | 356
spawn | amethyst_barrens | crystal_dire_wolf | 71 | 356
spawn | amethyst_barrens | crystal_dire_wolf | 52 | 341
spawn | amethyst_barrens | crystal_shore_crab | 341 | 36
spawn | amethyst_barrens | crystal_shore_crab | 329 | 37
spawn | amethyst_barrens | crystal_wing_griffin | 328 | 327
spawn | amethyst_barrens | crystal_wing_griffin | 310 | 339
spawn | amethyst_barrens | amethyst_stag_beetle | 212 | 168
spawn | amethyst_barrens | amethyst_stag_beetle | 305 | 122
spawn | amethyst_barrens | cobalt_ibex | 196 | 362
spawn | amethyst_barrens | cobalt_ibex | 206 | 356
spawn | amethyst_barrens | amethyst_moth | 304 | 314
spawn | amethyst_barrens | amethyst_moth | 62 | 337
spawn | amethyst_barrens | amethyst_moth | 289 | 307
spawn | amethyst_barrens | emerald_canopy_dragon | 321 | 344
spawn | amethyst_barrens | emerald_canopy_dragon | 307 | 332
spawn | amethyst_barrens | emerald_canopy_dragon | 330 | 336
spawn | amethyst_barrens | coal_kobold | 331 | 298
spawn | amethyst_barrens | coal_kobold | 289 | 204
spawn | amethyst_barrens | coal_kobold | 269 | 212
spawn | amethyst_barrens | dusk_camel | 177 | 46
spawn | amethyst_barrens | dusk_camel | 82 | 216
spawn | amethyst_barrens | dusk_camel | 97 | 219
spawn | amethyst_barrens | amethyst_stone_golem | 314 | 347
spawn | amethyst_barrens | amethyst_stone_golem | 323 | 335
spawn | amethyst_barrens | amethyst_stone_golem | 315 | 317
spawn | amethyst_barrens | arcane_core_colossus | 328 | 343
spawn | amethyst_barrens | arcane_core_colossus | 321 | 328
spawn | amethyst_barrens | arcane_core_colossus | 321 | 351
spawn | amethyst_barrens | arcane_crystal_automaton | 325 | 320
spawn | amethyst_barrens | arcane_crystal_automaton | 300 | 339
spawn | amethyst_barrens | arcane_crystal_automaton | 328 | 350
spawn | amethyst_barrens | crystalback_tortoise | 158 | 333
spawn | amethyst_barrens | crystalback_tortoise | 310 | 328
spawn | amethyst_barrens | crystalback_tortoise | 116 | 43
spawn | amethyst_barrens | cave_salamander | 353 |  73
spawn | amethyst_barrens | cave_salamander | 33 | 231
spawn | amethyst_barrens | cave_salamander | 189 | 123

# sunmane_steppe
spawn | sunmane_steppe | golden_plains_horse | 271 | 99
spawn | sunmane_steppe | golden_plains_horse | 216 | 216
spawn | sunmane_steppe | golden_plains_horse | 60 | 236
spawn | sunmane_steppe | golden_plains_horse | 58 | 226
spawn | sunmane_steppe | golden_bison | 296 | 206
spawn | sunmane_steppe | golden_bison | 347 | 127
spawn | sunmane_steppe | golden_bison | 342 | 113
spawn | sunmane_steppe | stormmane_lion | 66 | 284
spawn | sunmane_steppe | stormmane_lion | 56 | 289
spawn | sunmane_steppe | stormmane_lion | 228 | 229
spawn | sunmane_steppe | red_fox | 222 | 196
spawn | sunmane_steppe | red_fox | 202 | 218
spawn | sunmane_steppe | red_fox | 212 | 206
spawn | sunmane_steppe | red_fox | 279 | 92
spawn | sunmane_steppe | red_fox | 256 | 112
spawn | sunmane_steppe | dire_wolf | 261 | 239
spawn | sunmane_steppe | dire_wolf | 300 | 232
spawn | sunmane_steppe | dire_wolf | 292 | 215
spawn | sunmane_steppe | dire_wolf | 246 | 249
spawn | sunmane_steppe | golden_bison | 347 | 105
spawn | sunmane_steppe | golden_bison | 323 | 138
spawn | sunmane_steppe | golden_bison | 340 | 138
spawn | sunmane_steppe | golden_plains_horse | 193 | 63
spawn | sunmane_steppe | golden_plains_horse | 220 | 208
spawn | sunmane_steppe | golden_plains_horse | 209 | 222
spawn | sunmane_steppe | plains_griffin | 239 | 361
spawn | sunmane_steppe | plains_griffin | 374 | 256
spawn | sunmane_steppe | suncrest_heron | 85 | 245
spawn | sunmane_steppe | suncrest_heron | 247 | 96
spawn | sunmane_steppe | suncrest_heron | 273 | 117
spawn | sunmane_steppe | stormmane_lion | 85 | 344
spawn | sunmane_steppe | stormmane_lion | 313 | 318
spawn | sunmane_steppe | giant_mole | 248 | 233
spawn | sunmane_steppe | jadefeather_raptor | 76 | 280
spawn | sunmane_steppe | jadefeather_raptor | 237 | 228
spawn | sunmane_steppe | jadefeather_raptor | 77 | 289
spawn | sunmane_steppe | glowhorn_sheep | 70 | 230
spawn | sunmane_steppe | glowhorn_sheep | 188 | 51
spawn | sunmane_steppe | glowhorn_sheep | 256 | 104
spawn | sunmane_steppe | highland_orc | 338 | 266
spawn | sunmane_steppe | highland_orc | 231 | 354
spawn | sunmane_steppe | highland_orc | 266 | 357
spawn | sunmane_steppe | ironhorn_minotaur | 251 | 339
spawn | sunmane_steppe | ironhorn_minotaur | 363 | 243
spawn | sunmane_steppe | ironhorn_minotaur | 337 | 259
spawn | sunmane_steppe | storm_chimera | 69 | 336
spawn | sunmane_steppe | storm_chimera | 362 | 278
spawn | sunmane_steppe | storm_chimera | 234 | 345
spawn | sunmane_steppe | skystripe_antelope | 236 | 207
spawn | sunmane_steppe | skystripe_antelope | 201 | 232
spawn | sunmane_steppe | skystripe_antelope | 220 | 227
spawn | sunmane_steppe | azure_hyena | 322 | 325
spawn | sunmane_steppe | azure_hyena | 257 | 369
spawn | sunmane_steppe | azure_hyena | 95 | 356

# amberwood
spawn | amberwood | autumn_antler_stag | 171 | 118
spawn | amberwood | autumn_antler_stag | 219 | 97
spawn | amberwood | autumn_antler_stag | 194 | 104
spawn | amberwood | autumn_antler_stag | 195 | 114
spawn | amberwood | mossback_boar | 159 | 332
spawn | amberwood | mossback_boar | 312 | 101
spawn | amberwood | mossback_boar | 233 | 325
spawn | amberwood | amberwood_owl | 238 | 151
spawn | amberwood | amberwood_owl | 234 | 133
spawn | amberwood | lantern_stag | 208 | 80
spawn | amberwood | lantern_stag | 236 | 142
spawn | amberwood | moss_badger | 234 | 92
spawn | amberwood | moss_badger | 183 | 133
spawn | amberwood | moss_bear | 304 | 94
spawn | amberwood | moss_bear | 243 | 325
spawn | amberwood | mossback_boar | 164 | 339
spawn | amberwood | mossback_boar | 243 | 332
spawn | amberwood | amber_lantern_moth | 180 | 109
spawn | amberwood | amber_lantern_moth | 178 | 116
spawn | amberwood | amber_lantern_moth | 205 | 89
spawn | amberwood | autumn_bramble_boar | 149 | 319
spawn | amberwood | autumn_bramble_boar | 256 | 333
spawn | amberwood | autumn_bramble_boar | 170 | 320
spawn | amberwood | berry_bramble_boar | 182 | 125
spawn | amberwood | berry_bramble_boar | 203 | 98
spawn | amberwood | brambleback_boar | 306 | 110
spawn | amberwood | brambleback_boar | 250 | 318
spawn | amberwood | briarhide_wolf | 123 | 357
spawn | amberwood | briarhide_wolf | 120 | 372
spawn | amberwood | briarhide_wolf | 151 | 357
spawn | amberwood | elderwood_stag | 287 | 90
spawn | amberwood | elderwood_stag | 293 | 112
spawn | amberwood | elderwood_stag | 297 | 87
spawn | amberwood | giant_amber_moth | 292 | 101
spawn | amberwood | giant_amber_moth | 247 | 311
spawn | amberwood | amberwood_great_owl | 258 | 326
spawn | amberwood | amberwood_great_owl | 280 | 101
spawn | amberwood | autumn_antler_stag | 173 | 107
spawn | amberwood | autumn_antler_stag | 164 | 109
spawn | amberwood | autumn_crown_stag | 285 | 110
spawn | amberwood | autumn_crown_stag | 305 | 101
spawn | amberwood | thornhide_wolf | 150 | 363
spawn | amberwood | thornhide_wolf | 263 | 333
spawn | amberwood | moss_armored_hound | 130 | 355
spawn | amberwood | mossback_badger | 313 | 108
spawn | amberwood | mossback_badger | 232 | 316
spawn | amberwood | mossbound_stone_golem | 137 | 370
spawn | amberwood | mossbound_stone_golem | 136 | 370
spawn | amberwood | sapling_sprite | 211 | 98
spawn | amberwood | sapling_sprite | 226 | 129
spawn | amberwood | sapling_sprite | 168 | 127
spawn | amberwood | thornbark_wolf | 351 | 225
spawn | amberwood | thornbark_wolf | 126 | 376
spawn | amberwood | thornwood_dryad_queen | 341 | 326
spawn | amberwood | moonshadow_lynx | 322 | 244
spawn | amberwood | moonshadow_lynx | 264 | 340
spawn | amberwood | spectral_forest_knight | 368 | 263
spawn | amberwood | spectral_forest_knight | 338 | 309
spawn | amberwood | russet_faun | 209 | 105
spawn | amberwood | russet_faun | 219 | 107
spawn | amberwood | russet_faun | 218 | 90
spawn | amberwood | moss_bugbear | 324 | 231
spawn | amberwood | moss_bugbear | 119 | 364
spawn | amberwood | moss_bugbear | 256 | 346
spawn | amberwood | sporefolk | 133 | 347
spawn | amberwood | sporefolk | 353 | 232
spawn | amberwood | sporefolk | 344 | 221
spawn | amberwood | owlbear | 331 | 230
spawn | amberwood | owlbear | 143 | 367
spawn | amberwood | owlbear | 354 | 239
spawn | amberwood | autumn_bark_treant | 329 | 313
spawn | amberwood | autumn_bark_treant | 326 | 324
spawn | amberwood | autumn_bark_treant | 333 | 335
spawn | amberwood | elderwood_dryad_queen | 274 | 369
spawn | amberwood | elderwood_dryad_queen | 333 | 321
spawn | amberwood | elderwood_dryad_queen | 341 | 319
spawn | amberwood | spectral_forest_duelist | 364 | 277
spawn | amberwood | spectral_forest_duelist | 388 | 281
spawn | amberwood | spectral_forest_duelist | 326 | 336
spawn | amberwood | moss_bearded_giant | 368 | 270
spawn | amberwood | moss_bearded_giant | 319 | 331
spawn | amberwood | moss_bearded_giant | 389 | 272
spawn | amberwood | giant_badger | 146 | 312
spawn | amberwood | giant_badger | 140 | 323
spawn | amberwood | ember_leaf_spirit | 334 | 343
spawn | amberwood | ember_leaf_spirit | 356 | 278
spawn | amberwood | ember_leaf_spirit | 288 | 376

# grey_moors
spawn | grey_moors | autumn_antler_stag | 152 | 100
spawn | grey_moors | autumn_antler_stag | 36 | 141
spawn | grey_moors | autumn_antler_stag | 27 | 132
spawn | grey_moors | mossbound_hound | 92 | 237
spawn | grey_moors | mossbound_hound | 314 | 184
spawn | grey_moors | mossbound_hound | 67 | 229
spawn | grey_moors | moor_pony | 48 | 138
spawn | grey_moors | moor_pony | 23 | 149
spawn | grey_moors | moor_pony | 45 | 155
spawn | grey_moors | moor_heron | 272 | 149
spawn | grey_moors | moor_heron | 230 | 86
spawn | grey_moors | moor_heron | 277 | 136
spawn | grey_moors | cobalt_ibex | 352 | 333
spawn | grey_moors | cobalt_ibex | 41 | 319
spawn | grey_moors | frosthorn_elk | 340 | 362
spawn | grey_moors | amber_lantern_moth | 132 | 93
spawn | grey_moors | berry_bramble_boar | 261 | 149
spawn | grey_moors | berry_bramble_boar | 266 | 137
spawn | grey_moors | briarhide_wolf | 82 | 244
spawn | grey_moors | autumn_crown_stag | 221 | 88
spawn | grey_moors | giant_mole | 208 | 93
spawn | grey_moors | giant_mole | 223 | 95
spawn | grey_moors | moorland_dire_wolf | 62 | 245
spawn | grey_moors | moorland_dire_wolf | 85 | 231
spawn | grey_moors | moorland_dire_wolf | 318 | 191
spawn | grey_moors | moss_armored_hound | 322 | 200
spawn | grey_moors | moss_armored_hound | 327 | 192
spawn | grey_moors | moss_horn_ram | 20 | 307
spawn | grey_moors | moss_horn_ram | 328 | 353
spawn | grey_moors | mossback_badger | 49 | 146
spawn | grey_moors | mossbound_hound | 321 | 218
spawn | grey_moors | mossbound_hound | 72 | 245
spawn | grey_moors | mossbound_hound | 78 | 233
spawn | grey_moors | mossbound_stone_golem | 184 | 342
spawn | grey_moors | spectral_forest_knight | 290 | 306
spawn | grey_moors | mire_goblin | 61 | 237
spawn | grey_moors | mire_goblin | 316 | 210
spawn | grey_moors | mire_goblin | 311 | 199
spawn | grey_moors | moonlit_unicorn | 90 | 224
spawn | grey_moors | moonlit_unicorn | 330 | 205
spawn | grey_moors | moonlit_unicorn | 70 | 238
spawn | grey_moors | shadow_warg | 153 | 350
spawn | grey_moors | shadow_warg | 157 | 363
spawn | grey_moors | shadow_warg | 281 | 330
spawn | grey_moors | nightweave_spider | 173 | 369
spawn | grey_moors | nightweave_spider | 285 | 298
spawn | grey_moors | nightweave_spider | 263 | 318
spawn | grey_moors | black_iron_death_knight | 172 | 337
spawn | grey_moors | black_iron_death_knight | 271 | 311
spawn | grey_moors | black_iron_death_knight | 277 | 302
spawn | grey_moors | moors_spectral_knight | 262 | 304
spawn | grey_moors | moors_spectral_knight | 270 | 319
spawn | grey_moors | moors_spectral_knight | 163 | 351
spawn | grey_moors | spectral_moors_knight | 180 | 356
spawn | grey_moors | spectral_moors_knight | 291 | 326
spawn | grey_moors | spectral_moors_knight | 278 | 309
spawn | grey_moors | ashen_wolf | 243 |  81
spawn | grey_moors | ashen_wolf | 173 | 363
spawn | grey_moors | ashen_wolf | 14 | 140

# westhaven
spawn | westhaven | mossback_boar | 294 | 278
spawn | westhaven | mossback_boar | 324 | 275
spawn | westhaven | mossback_boar | 328 | 289
spawn | westhaven | mossbound_hound | 201 | 371
spawn | westhaven | mossbound_hound | 380 | 359
spawn | westhaven | mossbound_hound | 367 | 346
spawn | westhaven | brambleback_boar | 94 | 60
spawn | westhaven | brambleback_boar | 80 | 61
spawn | westhaven | bronze_tide_crab | 349 | 178
spawn | westhaven | bronze_tide_crab | 356 | 176
spawn | westhaven | moss_horn_ram | 280 | 311
spawn | westhaven | moss_horn_ram | 355 | 347
spawn | westhaven | coralcrest_heron | 338 | 176

# verdant_stair
spawn | verdant_stair | leafwing_owl | 161 | 140
spawn | verdant_stair | leafwing_owl | 81 | 158
spawn | verdant_stair | leafwing_owl | 149 | 147
spawn | verdant_stair | leafwing_owl | 160 | 210
spawn | verdant_stair | leafwing_owl | 217 | 246
spawn | verdant_stair | leafwing_owl | 227 | 276
spawn | verdant_stair | sapling_sprite | 150 | 129
spawn | verdant_stair | sapling_sprite | 157 | 132
spawn | verdant_stair | thornwood_dryad_queen | 278 | 67
spawn | verdant_stair | emerald_canopy_dragon | 276 | 284
spawn | verdant_stair | emerald_canopy_dragon | 330 | 282
spawn | verdant_stair | swamp_heron | 78 | 88
spawn | verdant_stair | swamp_heron | 69 | 86
spawn | verdant_stair | moonshadow_lynx | 206 | 263
spawn | verdant_stair | verdant_cyclops | 281 | 318
spawn | verdant_stair | verdant_cyclops | 308 | 342
spawn | verdant_stair | verdant_cyclops | 301 | 203
spawn | verdant_stair | heartwood_treant | 71 | 304
spawn | verdant_stair | heartwood_treant | 263 | 294
spawn | verdant_stair | heartwood_treant | 162 | 180
spawn | verdant_stair | verdant_treant |  67 | 186
spawn | verdant_stair | verdant_treant | 251 | 199
spawn | verdant_stair | verdant_treant | 251 | 44
spawn | verdant_stair | giant_praying_mantis | 233 |  58
spawn | verdant_stair | giant_praying_mantis | 327 | 185
spawn | verdant_stair | giant_praying_mantis | 275 | 33
spawn | verdant_stair | sapphire_peafowl | 46 |  80
spawn | verdant_stair | sapphire_peafowl |  84 | 140
spawn | verdant_stair | sapphire_peafowl |  66 |  73

# ssarathi_ruins
spawn | ssarathi_ruins | leafwing_owl | 326 | 63
spawn | ssarathi_ruins | leafwing_owl | 306 | 55
spawn | ssarathi_ruins | leafwing_owl | 290 | 84
spawn | ssarathi_ruins | emerald_canopy_dragon | 323 | 84
spawn | ssarathi_ruins | emerald_canopy_dragon | 65 | 247
spawn | ssarathi_ruins | emerald_canopy_dragon | 321 | 52
spawn | ssarathi_ruins | emerald_canopy_dragon | 274 | 306
spawn | ssarathi_ruins | emerald_canopy_dragon | 263 | 297
spawn | ssarathi_ruins | emerald_canopy_dragon | 255 | 308
spawn | ssarathi_ruins | swamp_heron | 247 | 139
spawn | ssarathi_ruins | swamp_heron | 271 | 127
spawn | ssarathi_ruins | swamp_heron | 240 | 134
spawn | ssarathi_ruins | emerald_canopy_dragon | 245 | 323
spawn | ssarathi_ruins | delta_mud_crab | 328 | 94
spawn | ssarathi_ruins | delta_mud_crab | 340 | 115
spawn | ssarathi_ruins | saltmarsh_crocodile | 59 | 208
spawn | ssarathi_ruins | saltmarsh_crocodile | 67 | 206
spawn | ssarathi_ruins | rune_stone_golem | 112 | 276
spawn | ssarathi_ruins | rune_stone_golem | 291 | 321
spawn | ssarathi_ruins | rune_stone_golem | 125 | 303
spawn | ssarathi_ruins | void_tentacle_construct | 81 | 223
spawn | ssarathi_ruins | void_tentacle_construct | 63 | 234
spawn | ssarathi_ruins | void_tentacle_construct | 54 | 243
spawn | ssarathi_ruins | gloom_wyvern | 62 | 318
spawn | ssarathi_ruins | gloom_wyvern | 148 | 301
spawn | ssarathi_ruins | gloom_wyvern | 128 | 328

# manymouth_delta
spawn | manymouth_delta | delta_mud_crab | 114 | 310
spawn | manymouth_delta | delta_mud_crab | 256 | 352
spawn | manymouth_delta | delta_mud_crab | 123 | 306
spawn | manymouth_delta | delta_mud_crab | 120 | 294
spawn | manymouth_delta | delta_mud_crab | 131 | 292
spawn | manymouth_delta | saltmarsh_crocodile | 328 | 14
spawn | manymouth_delta | saltmarsh_crocodile | 351 | 41
spawn | manymouth_delta | saltmarsh_crocodile | 323 | 21
spawn | manymouth_delta | saltmarsh_crocodile | 367 | 73
spawn | manymouth_delta | saltmarsh_crocodile | 371 | 38
spawn | manymouth_delta | saltmarsh_crocodile | 324 | 48
spawn | manymouth_delta | delta_mud_crab | 114 | 303
spawn | manymouth_delta | delta_mud_crab | 123 | 287
spawn | manymouth_delta | delta_mud_crab | 255 | 359
spawn | manymouth_delta | manymouth_crab | 470 | 272
spawn | manymouth_delta | manymouth_crab | 70 | 350
spawn | manymouth_delta | manymouth_crab | 448 | 262
spawn | manymouth_delta | swamp_heron | 211 | 347
spawn | manymouth_delta | swamp_heron | 152 | 290
spawn | manymouth_delta | swamp_heron | 139 | 297
spawn | manymouth_delta | bronze_diving_beetle | 154 | 299
spawn | manymouth_delta | bronze_diving_beetle | 138 | 324
spawn | manymouth_delta | saltmarsh_crocodile | 341 | 13
spawn | manymouth_delta | viridian_basilisk | 430 | 350
spawn | manymouth_delta | viridian_basilisk | 467 | 336
spawn | manymouth_delta | viridian_basilisk | 443 | 327
spawn | manymouth_delta | drowned_pirate | 25 | 343
spawn | manymouth_delta | drowned_pirate | 35 | 382
spawn | manymouth_delta | drowned_pirate | 25 | 359
spawn | manymouth_delta | reed_mask_hunter | 385 | 205
spawn | manymouth_delta | reed_mask_hunter | 369 | 223
