# Original test areas: kind, map, inclusive bounds, multiplier.
area | fast_regeneration | emberhaven | 57 | 55 | 67 | 63 | 3
area | fast_regeneration | mirrorhold_secrets | 3 | 3 | 19 | 15 | 3
area | experience | mirrorhold_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | mirrorhold_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | mirrorhold_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | mirrorhold_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | ssarathi_ruins_secrets | 219 | 137 | 241 | 159 | 2
area | experience | ssarathi_ruins_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | ssarathi_ruins_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | ssarathi_ruins_secrets | 3 | 3 | 19 | 15 | 3
area | experience | ssarathi_ruins_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | ssarathi_ruins_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | ssarathi_ruins_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | ssarathi_ruins_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | sunmane_steppe_secrets | 147 | 136 | 169 | 158 | 2
area | experience | sunmane_steppe_secrets | 75 | 3 | 91 | 14 | 2
area | fast_reading | sunmane_steppe_secrets | 147 | 73 | 165 | 86 | 3
area | fast_regeneration | sunmane_steppe_secrets | 219 | 74 | 235 | 86 | 3
area | experience | sunmane_steppe_secrets | 3 | 128 | 11 | 158 | 2
area | no_magic | sunmane_steppe_secrets | 291 | 140 | 309 | 158 | 2
area | cheap_magic | sunmane_steppe_secrets | 75 | 72 | 91 | 86 | 2
area | fast_regeneration | sunmane_steppe_secrets | 147 | 5 | 159 | 14 | 2
area | harvest_speed | verdant_stair_secrets | 219 | 137 | 241 | 159 | 2
area | experience | verdant_stair_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | verdant_stair_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | verdant_stair_secrets | 3 | 3 | 19 | 15 | 3
area | experience | verdant_stair_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | verdant_stair_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | verdant_stair_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | verdant_stair_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | westhaven_secrets | 219 | 137 | 241 | 159 | 2
area | experience | westhaven_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | westhaven_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | westhaven_secrets | 3 | 3 | 19 | 15 | 3
area | experience | westhaven_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | westhaven_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | westhaven_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | westhaven_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | whitehorn_range_secrets | 219 | 137 | 241 | 159 | 2
area | experience | whitehorn_range_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | whitehorn_range_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | whitehorn_range_secrets | 3 | 3 | 19 | 15 | 3
area | experience | whitehorn_range_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | whitehorn_range_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | whitehorn_range_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | whitehorn_range_secrets | 291 | 6 | 303 | 15 | 2
# --- end of the Nymara secrets ---
