# map | object_id | x | y | role | target | player-facing text
emberhaven | 16 | 94 | 58 | portal | maps.txt | The obelisk hums and the road ahead opens.
four_gates | 14 | 137 | 176 | storage | shared | A wayfarer's cache opens your shared storage.
four_gates | 15 | 246 | 272 | crafting_station | field | This field station supports ordinary mixing and crafting.
four_gates | 20 | 4 | 200 | portal | maps.txt | The road continues into Crownwater.
four_gates | 21 | 253 | 409 | portal | maps.txt | The road continues into Mirrorhold.
four_gates | 22 | 325 | 4 | portal | maps.txt | The road continues into Ssarathi Ruins.
four_gates | 23 | 405 | 170 | portal | maps.txt | The road continues into Sunmane Steppe.
whitehorn_range | 13 | 111 | 73 | information | region | The local board records roads, dangers, and current work in Whitehorn Range.
whitehorn_range | 14 | 94 | 79 | storage | shared | A wayfarer's cache opens your shared storage.
whitehorn_range | 15 | 128 | 82 | crafting_station | field | This field station supports ordinary mixing and crafting.
whitehorn_range | 16 | 129 | 71 | training | combat | The practice post lists your recent combat results.
whitehorn_range | 20 | 4 | 28 | portal | maps.txt | The road continues into Amberwood.
whitehorn_range | 21 | 402 | 4 | portal | maps.txt | The road continues into Amethyst Barrens.
whitehorn_range | 22 | 72 | 4 | portal | maps.txt | The road continues into Mirrorhold.
amethyst_barrens | 13 | 145 | 103 | information | region | The local board records roads, dangers, and current work in Amethyst Barrens.
amethyst_barrens | 14 | 156 | 117 | storage | shared | A wayfarer's cache opens your shared storage.
amethyst_barrens | 15 | 164 | 117 | crafting_station | field | This field station supports ordinary mixing and crafting.
amethyst_barrens | 16 | 165 | 104 | training | combat | The practice post lists your recent combat results.
amethyst_barrens | 20 | 360 | 40 | portal | maps.txt | The waygate hums. Beyond it lies Crownwater.
amethyst_barrens | 21 | 4 | 350 | portal | maps.txt | The waygate hums. Beyond it lies Mirrorhold.
amethyst_barrens | 22 | 163 | 4 | portal | maps.txt | The waygate hums. Beyond it lies Sunmane Steppe.
amethyst_barrens | 23 | 8 | 397 | portal | maps.txt | The waygate hums. Beyond it lies Whitehorn Range.
sunmane_steppe | 13 | 128 | 106 | information | region | The local board records roads, dangers, and current work in Sunmane Steppe.
sunmane_steppe | 14 | 120 | 117 | storage | shared | A wayfarer's cache opens your shared storage.
sunmane_steppe | 15 | 130 | 114 | crafting_station | field | This field station supports ordinary mixing and crafting.
sunmane_steppe | 16 | 131 | 109 | training | combat | The practice post lists your recent combat results.
sunmane_steppe | 20 | 157 | 397 | portal | maps.txt | The road continues into Amethyst Barrens.
sunmane_steppe | 21 | 4 | 161 | portal | maps.txt | The road continues into Four Gates.
sunmane_steppe | 22 | 288 | 4 | portal | maps.txt | The road continues into Verdant Stair.
amberwood | 13 | 165 | 242 | information | region | The local board records roads, dangers, and current work in Amberwood.
amberwood | 14 | 155 | 255 | storage | shared | A wayfarer's cache opens your shared storage.
amberwood | 15 | 181 | 255 | crafting_station | field | This field station supports ordinary mixing and crafting.
amberwood | 16 | 181 | 240 | training | combat | The practice post lists your recent combat results.
amberwood | 20 | 7 | 4 | portal | maps.txt | The road continues into Grey Moors.
amberwood | 21 | 418 | 118 | portal | maps.txt | The road continues into Mirrorhold.
amberwood | 22 | 58 | 121 | portal | maps.txt | Ferries leave this quay for Westhaven.
amberwood | 23 | 415 | 393 | portal | maps.txt | The road continues into Whitehorn Range.
grey_moors | 13 | 113 | 119 | information | region | The local board records roads, dangers, and current work in Grey Moors.
grey_moors | 14 | 100 | 132 | storage | shared | A wayfarer's cache opens your shared storage.
grey_moors | 15 | 108 | 132 | crafting_station | field | This field station supports ordinary mixing and crafting.
grey_moors | 16 | 95 | 118 | training | combat | The practice post lists your recent combat results.
grey_moors | 20 | 378 | 420 | portal | maps.txt | The road continues into Amberwood.
grey_moors | 21 | 66 | 65 | portal | maps.txt | Ferries leave this quay for Crownwater.
grey_moors | 22 | 403 | 7 | portal | maps.txt | The road continues into Manymouth Delta.
grey_moors | 23 | 135 | 12 | portal | maps.txt | The road continues into Westhaven.
westhaven | 13 | 142 | 172 | information | region | The local board records roads, dangers, and current work in Westhaven.
westhaven | 14 | 154 | 174 | storage | shared | A wayfarer's cache opens your shared storage.
westhaven | 15 | 165 | 172 | crafting_station | field | This field station supports ordinary mixing and crafting.
westhaven | 16 | 168 | 164 | training | combat | The practice post lists your recent combat results.
westhaven | 20 | 186 | 159 | portal | maps.txt | Ferries leave this quay for Amberwood.
westhaven | 21 | 55 | 170 | portal | maps.txt | Ferries leave this quay for Crownwater.
westhaven | 22 | 181 | 394 | portal | maps.txt | The road continues into Grey Moors.
westhaven | 23 | 431 | 109 | portal | maps.txt | The road continues into Manymouth Delta.
verdant_stair | 13 | 122 | 98 | information | region | The local board records roads, dangers, and current work in Verdant Stair.
verdant_stair | 14 | 129 | 97 | storage | shared | A wayfarer's cache opens your shared storage.
verdant_stair | 15 | 136 | 96 | crafting_station | field | This field station supports ordinary mixing and crafting.
verdant_stair | 16 | 142 | 96 | training | combat | The practice post lists your recent combat results.
verdant_stair | 20 | 4 | 134 | portal | maps.txt | The waygate hums. Beyond it lies Ssarathi Ruins.
verdant_stair | 21 | 128 | 363 | portal | maps.txt | The waygate hums. Beyond it lies Sunmane Steppe.
ssarathi_ruins | 13 | 153 | 110 | information | region | The local board records roads, dangers, and current work in Ssarathi Ruins.
ssarathi_ruins | 14 | 144 | 118 | storage | shared | A wayfarer's cache opens your shared storage.
ssarathi_ruins | 15 | 162 | 118 | crafting_station | field | This field station supports ordinary mixing and crafting.
ssarathi_ruins | 16 | 165 | 109 | training | combat | The practice post lists your recent combat results.
ssarathi_ruins | 20 | 159 | 44 | portal | maps.txt | The waygate hums. Beyond it lies Crownwater.
ssarathi_ruins | 21 | 181 | 392 | portal | maps.txt | The waygate hums. Beyond it lies Four Gates.
ssarathi_ruins | 22 | 4 | 187 | portal | maps.txt | The waygate hums. Beyond it lies Manymouth Delta.
ssarathi_ruins | 23 | 421 | 172 | portal | maps.txt | The waygate hums. Beyond it lies Verdant Stair.
manymouth_delta | 13 | 218 | 160 | information | region | The local board records roads, dangers, and current work in Manymouth Delta.
manymouth_delta | 14 | 217 | 164 | storage | shared | A wayfarer's cache opens your shared storage.
manymouth_delta | 15 | 225 | 157 | crafting_station | field | This field station supports ordinary mixing and crafting.
manymouth_delta | 16 | 227 | 163 | training | combat | The practice post lists your recent combat results.
manymouth_delta | 20 | 284 | 362 | portal | maps.txt | The waygate hums. Beyond it lies Crownwater.
manymouth_delta | 21 | 22 | 399 | portal | maps.txt | The waygate hums. Beyond it lies Grey Moors.
manymouth_delta | 22 | 552 | 181 | portal | maps.txt | The waygate hums. Beyond it lies Ssarathi Ruins.
manymouth_delta | 23 | 4 | 121 | portal | maps.txt | The waygate hums. Beyond it lies Westhaven.

# --- Nymara secrets, written by tools/author_region_content.py secrets ---
# Written from interiors/<region>_secrets/world.json and the entrance records
# in the region manifests. Object ids: entrances 500+ on their map, a secrets
# map's furniture 600+, its harvest nodes 700+. Re-run `secrets` after a
# secrets package or a region package changes.
# amberwood: secret entrances
amberwood | 500 | 294 | 185 | secret | key:Resin | A shrine slab with fresh scratches where it has been slid aside.
amberwood | 501 | 245 | 84 | secret | maps.txt | A cellar hatch under the leaves.
amberwood | 502 | 278 | 390 | secret | maps.txt | A knot of roots grown over a door frame.
amberwood | 503 | 336 | 118 | secret | maps.txt | A cellar hatch under the leaves.
amberwood | 504 | 113 | 360 | secret | maps.txt | A hollow tree. The dark inside it goes down, not in.
amberwood | 505 | 93 | 84 | secret | maps.txt | An arch so grown with vine it reads as hedge.
amberwood | 506 | 252 | 52 | secret | maps.txt | A cellar hatch under the leaves.
amberwood | 507 | 155 | 299 | secret | key:Storage Token | A cracked flagstone that rings hollow underfoot.
amberwood | 508 | 80 | 342 | secret | maps.txt | A hollow tree. The dark inside it goes down, not in.
amberwood | 509 | 70 | 116 | secret | maps.txt | A cave mouth the tide leaves open for an hour a day.
amberwood | 510 | 107 | 157 | secret | maps.txt | A cairn built over nothing, or over something.
amberwood | 511 | 341 | 331 | secret | maps.txt | A knot of roots grown over a door frame.
amberwood | 512 | 187 | 385 | secret | maps.txt | A loose stone in the rock; something moves behind it.
amberwood | 513 | 242 | 152 | secret | key:Woven Charm | A shrine slab with fresh scratches where it has been slid aside.
amberwood | 514 | 120 | 203 | secret | key:Iron Rune | A loose stone in the rock; something moves behind it.
amberwood_secrets | 600 | 76 | 12 | information | lore | The great arch was raised over a road that no longer runs under it. The road ran east.
amberwood_secrets | 601 | 87 | 12 | information | lore | Root's tally and the daybook count the same wagons. Where they differ is where somebody is standing.
amberwood_secrets | 602 | 76 | 10 | information | lore | Nine stones, nine reasons. The eighth reason is that the fire must never be let out.
amberwood_secrets | 603 | 82 | 6 | scenery_effect | relic | Sealed with resin, opened with resin: the arch's own reliquary.
amberwood_secrets | 604 | 230 | 147 | water_source | refreshment | Cold water from the garden well.
amberwood_secrets | 605 | 293 | 141 | training | combat | The post lists your recent combat results.
amberwood_secrets | 606 | 149 | 5 | crafting_station | field | A bench for ordinary mixing and crafting.
amberwood_secrets | 607 | 154 | 5 | storage | shared | A cache; it opens your shared storage.
amberwood_secrets | 608 | 292 | 75 | information | lore | A book read here reads three times as fast. Sit; the grove is patient.
amberwood_secrets | 609 | 301 | 75 | information | lore | Nine watchers face east. The grove reader says the scar is older than the fire, and that both have a beginning in the same season.
amberwood_secrets | 610 | 307 | 75 | information | lore | A fox on the steppe, a crab in the delta, a rimeclaw in the range: the register's hunting chain, in that order.
amberwood_secrets | 611 | 293 | 7 | information | lore | Rest here and the breath comes back twice as fast.
amberwood_secrets | 612 | 295 | 7 | information | lore | A wayfarer's cache beside every arrival opens the same storage as the civic chest. What you put in at one you take out at any.
amberwood_secrets | 613 | 300 | 12 | water_source | refreshment | Rainwater from the cistern.
amberwood_secrets | 614 | 79 | 156 | training | combat | The butts list your recent combat results.
amberwood_secrets | 615 | 231 | 11 | crafting_station | field | A bench for ordinary mixing and crafting.
amberwood_secrets | 616 | 227 | 15 | information | lore | What is made under the moot is made twice: once in the hands and once in the record. Work here teaches double.
amberwood_secrets | 617 | 227 | 6 | storage | shared | A cache; it opens your shared storage.
amberwood_secrets | 618 | 76 | 86 | training | combat | Nothing casts within these stones. The post lists your recent combat results.
amberwood_secrets | 619 | 11 | 12 | water_source | refreshment | The spring is warm and mineral; it restores you.
# amethyst_barrens: secret entrances
amethyst_barrens | 500 | 299 | 268 | secret | maps.txt | A loose stone in the rock; something moves behind it.
amethyst_barrens | 501 | 332 | 70 | secret | maps.txt | A cellar hatch under the leaves.
amethyst_barrens | 502 | 207 | 44 | secret | maps.txt | A seam of crystal that hums at a touch; the rock behind it is thin.
amethyst_barrens | 503 | 353 | 182 | secret | maps.txt | A seam of crystal that hums at a touch; the rock behind it is thin.
amethyst_barrens | 504 | 260 | 329 | secret | key:Crystal | A shrine slab with fresh scratches where it has been slid aside.
amethyst_barrens | 505 | 99 | 291 | secret | key:Storage Token | A cracked flagstone that rings hollow underfoot.
amethyst_barrens | 506 | 338 | 37 | secret | maps.txt | A seam of crystal that hums at a touch; the rock behind it is thin.
amethyst_barrens | 507 | 210 | 54 | secret | maps.txt | A sink in the sand that never fills.
amethyst_barrens | 508 | 252 | 43 | secret | maps.txt | A seam of crystal that hums at a touch; the rock behind it is thin.
amethyst_barrens | 509 | 261 | 232 | secret | maps.txt | A cellar hatch under the leaves.
amethyst_barrens | 510 | 217 | 55 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
amethyst_barrens | 511 | 227 | 24 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
amethyst_barrens | 512 | 200 | 55 | secret | key:Iron Rune | A cracked flagstone that rings hollow underfoot.
amethyst_barrens_secrets | 600 | 293 | 141 | training | combat | The post lists your recent combat results.
amethyst_barrens_secrets | 601 | 79 | 156 | training | combat | The butts list your recent combat results.
amethyst_barrens_secrets | 602 | 293 | 7 | information | lore | Rest here and the breath comes back twice as fast.
amethyst_barrens_secrets | 603 | 295 | 7 | information | lore | A pickaxe in the pack or in the hand is the same to a seam. A seam above your level takes ten times as long, not twice.
amethyst_barrens_secrets | 604 | 300 | 12 | water_source | refreshment | Rainwater from the cistern.
amethyst_barrens_secrets | 605 | 76 | 12 | information | lore | The measures were cut from one crystal. The twelfth length was never set; the factor knows why.
amethyst_barrens_secrets | 606 | 87 | 12 | information | lore | The ruins were not storm-broken. They were struck, once each, on the same night.
amethyst_barrens_secrets | 607 | 76 | 10 | information | lore | The Resonant Vault under the observatory was a mine before it was a vault.
amethyst_barrens_secrets | 608 | 82 | 6 | scenery_effect | relic | Sealed with a resonant crystal; the massif's own relic room.
amethyst_barrens_secrets | 609 | 231 | 11 | crafting_station | field | A bench for ordinary mixing and crafting.
amethyst_barrens_secrets | 610 | 227 | 15 | information | lore | The Barrens factor signs for a shard once. What is made under the observatory is checked against the eleven measures and counts double.
amethyst_barrens_secrets | 611 | 227 | 6 | storage | shared | A cache; it opens your shared storage.
amethyst_barrens_secrets | 612 | 11 | 12 | water_source | refreshment | The spring is warm and mineral; it restores you.
amethyst_barrens_secrets | 613 | 230 | 147 | water_source | refreshment | Cold water from the garden well.
amethyst_barrens_secrets | 614 | 149 | 5 | crafting_station | field | A bench for ordinary mixing and crafting.
amethyst_barrens_secrets | 615 | 154 | 5 | storage | shared | A cache; it opens your shared storage.
amethyst_barrens_secrets | 616 | 76 | 86 | training | combat | Nothing casts within these stones. The post lists your recent combat results.
amethyst_barrens_secrets | 617 | 292 | 75 | information | lore | The tower's under-room; the wardens taught here before the observatory. Books read three times as fast.
amethyst_barrens_secrets | 618 | 301 | 75 | information | lore | A shard is tuned by walking it past all eleven measures. Eleven collars, eleven lengths, no shortcuts.
amethyst_barrens_secrets | 619 | 307 | 75 | information | lore | The massif hums on the day before a storm. Count the hum and you know the hour.
# crownwater: secret entrances
crownwater | 500 | 232 | 237 | secret | maps.txt | An arch so grown with vine it reads as hedge.
crownwater | 501 | 252 | 220 | secret | key:Storage Token | A cracked flagstone that rings hollow underfoot.
crownwater | 502 | 169 | 216 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
crownwater | 503 | 116 | 96 | secret | maps.txt | An iron drain grate, its bolts drawn.
crownwater | 504 | 91 | 135 | secret | key:Shell | A shrine slab with fresh scratches where it has been slid aside.
crownwater | 505 | 281 | 267 | secret | maps.txt | A cave mouth the tide leaves open for an hour a day.
crownwater | 506 | 284 | 210 | secret | maps.txt | An iron drain grate, its bolts drawn.
crownwater | 507 | 173 | 69 | secret | maps.txt | An iron drain grate, its bolts drawn.
crownwater | 508 | 284 | 107 | secret | key:Iron Rune | A cracked flagstone that rings hollow underfoot.
crownwater | 509 | 218 | 292 | secret | maps.txt | An iron drain grate, its bolts drawn.
crownwater | 510 | 308 | 190 | secret | maps.txt | A cave mouth the tide leaves open for an hour a day.
crownwater | 511 | 89 | 206 | secret | maps.txt | A cave mouth the tide leaves open for an hour a day.
crownwater | 512 | 135 | 277 | secret | key:Iron Rune | A cracked flagstone that rings hollow underfoot.
crownwater_secrets | 600 | 293 | 7 | information | lore | Rest here and the breath comes back twice as fast.
crownwater_secrets | 601 | 295 | 7 | information | lore | Sitting restores faster than standing; a spring restores faster than sitting.
crownwater_secrets | 602 | 300 | 12 | water_source | refreshment | Rainwater from the cistern.
crownwater_secrets | 603 | 231 | 11 | crafting_station | field | A bench for ordinary mixing and crafting.
crownwater_secrets | 604 | 227 | 15 | information | lore | The court is swept. Someone sweeps it. What is made over it counts double, the sexton says, because the court is listening.
crownwater_secrets | 605 | 227 | 6 | storage | shared | A cache; it opens your shared storage.
crownwater_secrets | 606 | 292 | 75 | information | lore | The cathedral's under-room. Books read three times as fast under the stone.
crownwater_secrets | 607 | 301 | 75 | information | lore | The grating over the drowned court was found open. The diver says from below.
crownwater_secrets | 608 | 307 | 75 | information | lore | Every quay serves a route; a second berth a few tiles along the dock serves the next. Read the stone before you step on the plank.
crownwater_secrets | 609 | 76 | 86 | training | combat | Nothing casts within these stones. The post lists your recent combat results.
crownwater_secrets | 610 | 76 | 12 | information | lore | The crown was drowned on purpose. The court was drowned by accident.
crownwater_secrets | 611 | 87 | 12 | information | lore | Deep patina takes a century. The patina on the grating hinge is a year old.
crownwater_secrets | 612 | 76 | 10 | information | lore | Teth-Sa dives the court every tenth day and comes up with nothing, on purpose.
crownwater_secrets | 613 | 82 | 6 | scenery_effect | relic | The court's own relic room, opened with a shell from the shore.
crownwater_secrets | 614 | 293 | 141 | training | combat | The post lists your recent combat results.
crownwater_secrets | 615 | 149 | 5 | crafting_station | field | A bench for ordinary mixing and crafting.
crownwater_secrets | 616 | 154 | 5 | storage | shared | A cache; it opens your shared storage.
crownwater_secrets | 617 | 230 | 147 | water_source | refreshment | Cold water from the garden well.
crownwater_secrets | 618 | 79 | 156 | training | combat | The butts list your recent combat results.
crownwater_secrets | 619 | 11 | 12 | water_source | refreshment | The spring is warm and mineral; it restores you.
# drowned_crown: secret entrances
drowned_crown | 500 | 245 | 42 | secret | maps.txt | An iron drain grate, its bolts drawn.
# four_gates: secret entrances
four_gates | 500 | 184 | 186 | secret | key:Iron Rune | A cracked flagstone that rings hollow underfoot.
four_gates | 501 | 127 | 162 | secret | key:Storage Token | A cracked flagstone that rings hollow underfoot.
four_gates | 502 | 95 | 187 | secret | maps.txt | An iron drain grate, its bolts drawn.
four_gates | 503 | 123 | 235 | secret | maps.txt | A cellar hatch under the leaves.
four_gates | 504 | 175 | 136 | secret | maps.txt | A cellar hatch under the leaves.
four_gates | 505 | 246 | 283 | secret | maps.txt | An iron drain grate, its bolts drawn.
four_gates | 506 | 336 | 69 | secret | maps.txt | An iron drain grate, its bolts drawn.
four_gates | 507 | 219 | 192 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
four_gates | 508 | 277 | 135 | secret | maps.txt | An iron drain grate, its bolts drawn.
four_gates | 509 | 103 | 353 | secret | key:Iron Rune | A shrine slab with fresh scratches where it has been slid aside.
four_gates | 510 | 156 | 282 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
four_gates | 511 | 287 | 166 | secret | maps.txt | An iron drain grate, its bolts drawn.
four_gates | 512 | 309 | 240 | secret | maps.txt | An arch so grown with vine it reads as hedge.
four_gates | 513 | 210 | 144 | secret | key:Iron Rune | A cracked flagstone that rings hollow underfoot.
four_gates_secrets | 600 | 87 | 10 | crafting_station | field | A bench for ordinary mixing and crafting.
four_gates_secrets | 601 | 83 | 14 | information | lore | The deposit of the four keys keeps a copy of every account. What is made under it is entered twice and counts double.
four_gates_secrets | 602 | 83 | 5 | storage | shared | A cache; it opens your shared storage.
four_gates_secrets | 603 | 7 | 155 | training | combat | The butts list your recent combat results.
four_gates_secrets | 604 | 5 | 4 | crafting_station | field | A bench for ordinary mixing and crafting.
four_gates_secrets | 605 | 10 | 4 | storage | shared | A cache; it opens your shared storage.
four_gates_secrets | 606 | 292 | 157 | training | combat | Nothing casts within these stones. The post lists your recent combat results.
four_gates_secrets | 607 | 221 | 140 | training | combat | The post lists your recent combat results.
four_gates_secrets | 608 | 227 | 83 | water_source | refreshment | The spring is warm and mineral; it restores you.
four_gates_secrets | 609 | 158 | 146 | water_source | refreshment | Cold water from the garden well.
four_gates_secrets | 610 | 292 | 83 | information | lore | The sanctuary beacon was lit for a ship that never came. It is still lit.
four_gates_secrets | 611 | 303 | 83 | information | lore | Ninety candles were set for ninety names. One is still burning; nobody will say whose.
four_gates_secrets | 612 | 292 | 79 | information | lore | Every road out of the city is a causeway or a stair, because the city is an island that decided not to be.
four_gates_secrets | 613 | 298 | 77 | scenery_effect | relic | Under the northern sanctuary, opened with an iron rune.
four_gates_secrets | 614 | 148 | 74 | information | lore | The stormglass house's under-room. Books read three times as fast.
four_gates_secrets | 615 | 157 | 74 | information | lore | Four gates, four roads: north to Mirrorhold, east to the Sunmane Steppe, south to the Ssarathi Ruins, west across the causeway to Crownwater.
four_gates_secrets | 616 | 163 | 74 | information | lore | Everything that walks through a gate is counted. Everything that rolls is weighed. Where the two disagree is where someone is standing.
four_gates_secrets | 617 | 149 | 6 | information | lore | Rest here and the breath comes back twice as fast.
four_gates_secrets | 618 | 151 | 6 | information | lore | The civic chest, every wayfarer's cache and every secret's chest open the same storage.
four_gates_secrets | 619 | 156 | 11 | water_source | refreshment | Rainwater from the cistern.
# grey_moor_barrows: secret entrances
grey_moor_barrows | 500 | 12 | 28 | secret | key:Bones | A shrine slab with fresh scratches where it has been slid aside.
# grey_moors: secret entrances
grey_moors | 500 | 295 | 247 | secret | maps.txt | A cairn built over nothing, or over something.
grey_moors | 501 | 197 | 205 | secret | maps.txt | A hide of cut reeds, and a plank floor under it where there should be mud.
grey_moors | 502 | 268 | 150 | secret | maps.txt | A hide of cut reeds, and a plank floor under it where there should be mud.
grey_moors | 503 | 221 | 312 | secret | key:Storage Token | A cracked flagstone that rings hollow underfoot.
grey_moors | 504 | 225 | 66 | secret | maps.txt | A cellar hatch under the leaves.
grey_moors | 505 | 171 | 230 | secret | maps.txt | A hollow tree. The dark inside it goes down, not in.
grey_moors | 506 | 267 | 36 | secret | maps.txt | A loose stone in the rock; something moves behind it.
grey_moors | 507 | 143 | 248 | secret | maps.txt | A cairn built over nothing, or over something.
grey_moors | 508 | 304 | 149 | secret | maps.txt | A hide of cut reeds, and a plank floor under it where there should be mud.
grey_moors | 509 | 250 | 79 | secret | maps.txt | A cairn built over nothing, or over something.
grey_moors | 510 | 173 | 154 | secret | maps.txt | A cracked flagstone that rings hollow underfoot.
grey_moors | 511 | 376 | 239 | secret | maps.txt | An arch so grown with vine it reads as hedge.
grey_moors | 512 | 342 | 332 | secret | maps.txt | A knot of roots grown over a door frame.
grey_moors | 513 | 171 | 177 | secret | key:Iron Rune | A cairn built over nothing, or over something.
grey_moors | 514 | 315 | 217 | secret | key:Woven Charm | A cairn built over nothing, or over something.
grey_moors_secrets | 600 | 76 | 86 | training | combat | Nothing casts within these stones. The post lists your recent combat results.
grey_moors_secrets | 601 | 149 | 5 | crafting_station | field | A bench for ordinary mixing and crafting.
grey_moors_secrets | 602 | 154 | 5 | storage | shared | A cache; it opens your shared storage.
grey_moors_secrets | 603 | 231 | 11 | crafting_station | field | A bench for ordinary mixing and crafting.
grey_moors_secrets | 604 | 227 | 15 | information | lore | Eleven breached, eleven return fields left blank. What is made over the court is entered against the debt and counts double.
grey_moors_secrets | 605 | 227 | 6 | storage | shared | A cache; it opens your shared storage.
grey_moors_secrets | 606 | 230 | 147 | water_source | refreshment | Cold water from the garden well.
grey_moors_secrets | 607 | 76 | 12 | information | lore | Eleven barrows breached in one winter, and nothing taken from any of them but the kerb stones.
grey_moors_secrets | 608 | 87 | 12 | information | lore | The fifth chamber is a false barrow: built empty, sealed full.
grey_moors_secrets | 609 | 76 | 10 | information | lore | A blank return field is not a debt unpaid. It is a debt nobody will name.
grey_moors_secrets | 610 | 82 | 6 | scenery_effect | relic | Opened with bones, as the crypts are.
grey_moors_secrets | 611 | 11 | 12 | water_source | refreshment | The spring is warm and mineral; it restores you.
grey_moors_secrets | 612 | 293 | 141 | training | combat | The post lists your recent combat results.
grey_moors_secrets | 613 | 79 | 156 | training | combat | The butts list your recent combat results.
grey_moors_secrets | 614 | 292 | 75 | information | lore | The shrine's under-room. Books read three times as fast in the peat-quiet.
grey_moors_secrets | 615 | 301 | 75 | information | lore | A debt-reader reads a barrow's kerb the way a clerk reads a ledger. The eleventh kerb has a stone missing.
grey_moors_secrets | 616 | 307 | 75 | information | lore | Bog iron is harvested with nothing but hands; it is the smelting that wants the pickaxe.
grey_moors_secrets | 617 | 293 | 7 | information | lore | Rest here and the breath comes back twice as fast.
